day,model,method,precision,recall,roc_auc,accuracy,f1_score
07-29,xgb,heuristic,0.719,0.6447,0.6963,0.6963,0.6798
07-29,rf,heuristic,0.719,0.6447,0.6963,0.6963,0.6798
07-29,xgb,node2vec,0.673,0.7794,0.7003,0.7003,0.7223
07-29,rf,node2vec,0.673,0.7794,0.7003,0.7003,0.7223
07-29,xgb,deepwalk,0.7277,0.5484,0.6716,0.6716,0.6254
07-29,rf,deepwalk,0.7277,0.5484,0.6716,0.6716,0.6254
07-30,xgb,heuristic,0.7142,0.6312,0.6893,0.6893,0.6701
07-30,rf,heuristic,0.7142,0.6312,0.6893,0.6893,0.6701
07-30,xgb,node2vec,0.6731,0.7808,0.7008,0.7008,0.723
07-30,rf,node2vec,0.6731,0.7808,0.7008,0.7008,0.723
07-30,xgb,deepwalk,0.7184,0.5654,0.6719,0.6719,0.6328
07-30,rf,deepwalk,0.7184,0.5654,0.6719,0.6719,0.6328
07-31,xgb,heuristic,0.7115,0.6335,0.6883,0.6883,0.6702
07-31,rf,heuristic,0.7115,0.6335,0.6883,0.6883,0.6702
07-31,xgb,node2vec,0.6626,0.754,0.685,0.685,0.7054
07-31,rf,node2vec,0.6626,0.754,0.685,0.685,0.7054
07-31,xgb,deepwalk,0.7152,0.5729,0.6724,0.6724,0.6362
07-31,rf,deepwalk,0.7152,0.5729,0.6724,0.6724,0.6362
08-01,xgb,heuristic,0.7107,0.6248,0.6852,0.6852,0.665
08-01,rf,heuristic,0.7107,0.6248,0.6852,0.6852,0.665
08-01,xgb,node2vec,0.6683,0.7632,0.6922,0.6922,0.7126
08-01,rf,node2vec,0.6683,0.7632,0.6922,0.6922,0.7126
08-01,xgb,deepwalk,0.7007,0.5634,0.6614,0.6614,0.6246
08-01,rf,deepwalk,0.7007,0.5634,0.6614,0.6614,0.6246
08-02,xgb,heuristic,0.7157,0.6331,0.6908,0.6908,0.6719
08-02,rf,heuristic,0.7157,0.6331,0.6908,0.6908,0.6719
08-02,xgb,node2vec,0.6729,0.777,0.6997,0.6997,0.7212
08-02,rf,node2vec,0.6729,0.777,0.6997,0.6997,0.7212
08-02,xgb,deepwalk,0.7058,0.5573,0.6625,0.6625,0.6228
08-02,rf,deepwalk,0.7058,0.5573,0.6625,0.6625,0.6228
08-03,xgb,heuristic,0.7148,0.6366,0.6913,0.6913,0.6734
08-03,rf,heuristic,0.7148,0.6366,0.6913,0.6913,0.6734
08-03,xgb,node2vec,0.6704,0.7805,0.6984,0.6984,0.7212
08-03,rf,node2vec,0.6704,0.7805,0.6984,0.6984,0.7212
08-03,xgb,deepwalk,0.7212,0.5805,0.678,0.678,0.6433
08-03,rf,deepwalk,0.7212,0.5805,0.678,0.678,0.6433
08-04,xgb,heuristic,0.7168,0.6402,0.6936,0.6936,0.6763
08-04,rf,heuristic,0.7168,0.6402,0.6936,0.6936,0.6763
08-04,xgb,node2vec,0.668,0.7681,0.6932,0.6932,0.7146
08-04,rf,node2vec,0.668,0.7681,0.6932,0.6932,0.7146
08-04,xgb,deepwalk,0.7086,0.5732,0.6687,0.6687,0.6337
08-04,rf,deepwalk,0.7086,0.5732,0.6687,0.6687,0.6337
08-05,xgb,heuristic,0.7212,0.6537,0.7005,0.7005,0.6858
08-05,rf,heuristic,0.7212,0.6537,0.7005,0.7005,0.6858
08-05,xgb,node2vec,0.6666,0.7621,0.6905,0.6905,0.7112
08-05,rf,node2vec,0.6666,0.7621,0.6905,0.6905,0.7112
08-05,xgb,deepwalk,0.7022,0.5706,0.6643,0.6643,0.6296
08-05,rf,deepwalk,0.7022,0.5706,0.6643,0.6643,0.6296
08-06,xgb,heuristic,0.7139,0.6387,0.6914,0.6914,0.6742
08-06,rf,heuristic,0.7139,0.6387,0.6914,0.6914,0.6742
08-06,xgb,node2vec,0.6717,0.7865,0.7011,0.7011,0.7246
08-06,rf,node2vec,0.6717,0.7865,0.7011,0.7011,0.7246
08-06,xgb,deepwalk,0.7117,0.5603,0.6667,0.6667,0.627
08-06,rf,deepwalk,0.7117,0.5603,0.6667,0.6667,0.627
08-07,xgb,heuristic,0.7202,0.6574,0.701,0.701,0.6873
08-07,rf,heuristic,0.7202,0.6574,0.701,0.701,0.6873
08-07,xgb,node2vec,0.6567,0.7317,0.6746,0.6746,0.6922
08-07,rf,node2vec,0.6567,0.7317,0.6746,0.6746,0.6922
08-07,xgb,deepwalk,0.7159,0.5649,0.6704,0.6704,0.6315
08-07,rf,deepwalk,0.7159,0.5649,0.6704,0.6704,0.6315
08-08,xgb,heuristic,0.7184,0.6507,0.6978,0.6978,0.6829
08-08,rf,heuristic,0.7184,0.6507,0.6978,0.6978,0.6829
08-08,xgb,node2vec,0.6497,0.7143,0.6646,0.6646,0.6805
08-08,rf,node2vec,0.6497,0.7143,0.6646,0.6646,0.6805
08-08,xgb,deepwalk,0.7118,0.5841,0.6738,0.6738,0.6417
08-08,rf,deepwalk,0.7118,0.5841,0.6738,0.6738,0.6417
08-09,xgb,heuristic,0.7145,0.6361,0.691,0.691,0.673
08-09,rf,heuristic,0.7145,0.6361,0.691,0.691,0.673
08-09,xgb,node2vec,0.6688,0.7756,0.6957,0.6957,0.7182
08-09,rf,node2vec,0.6688,0.7756,0.6957,0.6957,0.7182
08-09,xgb,deepwalk,0.7225,0.5951,0.6832,0.6832,0.6526
08-09,rf,deepwalk,0.7225,0.5951,0.6832,0.6832,0.6526
