size,model,precision,recall,roc_auc,accuracy,f1_score
18822,xgb,0.9673,0.961,0.9643,0.9643,0.9642
18822,rf,0.9732,0.9416,0.9578,0.9578,0.9571
30928,xgb,0.9736,0.9644,0.9691,0.9691,0.969
30928,rf,0.9736,0.962,0.9679,0.9679,0.9677
41945,xgb,0.9734,0.9366,0.9555,0.9555,0.9546
41945,rf,0.9734,0.9366,0.9555,0.9555,0.9546
53284,xgb,0.9743,0.926,0.9508,0.9508,0.9496
53284,rf,0.9743,0.9244,0.95,0.95,0.9487
64991,xgb,0.9497,0.9356,0.9431,0.9431,0.9426
64991,rf,0.9555,0.9323,0.9444,0.9444,0.9438
78864,xgb,0.95,0.9182,0.9349,0.9349,0.9338
78864,rf,0.9588,0.9143,0.9375,0.9375,0.936
91143,xgb,0.9487,0.9188,0.9346,0.9346,0.9336
91143,rf,0.9568,0.9141,0.9364,0.9364,0.9349
104305,xgb,0.9669,0.8934,0.9314,0.9314,0.9287
104305,rf,0.9669,0.8934,0.9314,0.9314,0.9287
118692,xgb,0.9629,0.8791,0.9226,0.9226,0.9191
118692,rf,0.943,0.8921,0.9191,0.9191,0.9168
133721,xgb,0.9578,0.8711,0.9163,0.9163,0.9124
133721,rf,0.9576,0.8714,0.9164,0.9164,0.9125
148623,xgb,0.9492,0.8684,0.9109,0.9109,0.907
148623,rf,0.9495,0.8678,0.9108,0.9108,0.9068
163958,xgb,0.9425,0.8606,0.904,0.904,0.8997
163958,rf,0.9198,0.8776,0.9006,0.9006,0.8982
180985,xgb,0.9415,0.8565,0.9016,0.9016,0.897
180985,rf,0.9414,0.8567,0.9016,0.9016,0.897
